pipeline	eval_type	sample	species	label	metric	n	mean	sd	median	q1	q3	iqr
flair_sq3	novel_evl	wtc11_captrap_ont	human	TP+PTP	isoform_cov	28	0.410416349351794	0.339265689691989	0.283022566986429	0.19919028340081	0.539344959591663	0.340154676190854
flair_sq3	novel_evl	wtc11_captrap_pacbio	human	TP+PTP	isoform_cov	30	0.579535844233758	0.369757008281796	0.388663967611336	0.243439263505753	1	0.756560736494247
flair_sq3	novel_evl	wtc11_cdna_ont	human	TP+PTP	isoform_cov	52	0.492535183492434	0.377519934067585	0.283071033602722	0.173368000742873	1	0.826631999257127
flair_sq3	novel_evl	wtc11_cdna_pacbio	human	TP+PTP	isoform_cov	49	0.836260279990132	0.354467091020659	1	0.554657592513824	1	0.445342407486176
flair_sq3	ref_evl	es_captrap_ont	mouse	TP+PTP	isoform_cov	50	0.767326084751375	0.359416586371488	1	0.478929384965831	1	0.521070615034169
flair_sq3	ref_evl	es_captrap_pacbio	mouse	TP+PTP	isoform_cov	46	0.868464349947028	0.274106093041664	1	1	1	0
flair_sq3	ref_evl	es_cdna_ont	mouse	TP+PTP	isoform_cov	48	0.939413770302207	0.160402614378801	1	1	1	0
flair_sq3	ref_evl	es_cdna_pacbio	mouse	TP+PTP	isoform_cov	101	0.882401528208517	0.346405382316702	1	0.778082191780822	1	0.221917808219178
flair_sq3	ref_evl	es_drna_ont	mouse	TP+PTP	isoform_cov	42	1	0	1	1	1	0
flair_sq3	ref_evl	wtc11_captrap_ont	human	TP+PTP	isoform_cov	30	0.908565089707533	0.239876919414053	1	1	1	0
flair_sq3	ref_evl	wtc11_captrap_pacbio	human	TP+PTP	isoform_cov	30	0.850199603418007	0.308106216430486	1	1	1	0
flair_sq3	ref_evl	wtc11_cdna_ont	human	TP+PTP	isoform_cov	40	0.867288509201709	0.320795791118557	1	1	1	0
flair_sq3	ref_evl	wtc11_cdna_pacbio	human	TP+PTP	isoform_cov	67	0.936522200668201	0.253146562911396	1	0.998916370276682	1	0.00108362972331821
isoseq_sq3	novel_evl	es_cdna_pacbio	mouse	TP+PTP	isoform_cov	20	1.11044614052541	0.512908574277463	0.996623607658916	0.977364660122148	1.02312887988816	0.0457642197660077
isoseq_sq3	novel_evl	wtc11_cdna_pacbio	human	TP+PTP	isoform_cov	19	1.01777453373755	0.319827372216366	0.99919028340081	0.996401852861571	1.13588644831341	0.139484595451835
isoseq_sq3	ref_evl	es_cdna_pacbio	mouse	TP+PTP	isoform_cov	24	1.0421573311057	0.510646461311625	0.994163653710296	0.95927265553604	1.0093834268148	0.0501107712787592
isoseq_sq3	ref_evl	wtc11_cdna_pacbio	human	TP+PTP	isoform_cov	21	1.01848027513717	0.3041676426363	0.99919028340081	0.99573625704279	1.09244501115716	0.0967087541143668
stringtie_sq3	novel_evl	es_captrap_ont	mouse	TP+PTP	isoform_cov	12	0.678155479425076	0.387961116810677	0.84783626035656	0.256133442111797	1	0.743866557888203
stringtie_sq3	novel_evl	es_captrap_pacbio	mouse	TP+PTP	isoform_cov	9	0.70906705583058	0.367199719611522	1	0.437254309041427	1	0.562745690958573
stringtie_sq3	novel_evl	es_cdna_ont	mouse	TP+PTP	isoform_cov	10	0.925154427772304	0.149664831123765	0.996725512528474	0.884445512728292	1	0.115554487271709
stringtie_sq3	novel_evl	es_cdna_pacbio	mouse	TP+PTP	isoform_cov	22	0.813669239670284	0.281405199822453	0.977316069391795	0.558397325120867	1	0.441602674879133
stringtie_sq3	novel_evl	es_drna_ont	mouse	TP+PTP	isoform_cov	8	0.853089728785335	0.277232442465486	0.996192893401015	0.87893113318027	1.00126896111699	0.122337827936722
stringtie_sq3	novel_evl	wtc11_captrap_ont	human	TP+PTP	isoform_cov	14	0.850736514012172	0.314270790321989	0.99829976668503	0.683776928239512	1.00263929618768	0.318862367948171
stringtie_sq3	novel_evl	wtc11_captrap_pacbio	human	TP+PTP	isoform_cov	12	0.640213910587696	0.414796077373063	0.645886344572071	0.326552482889513	1	0.673447517110487
stringtie_sq3	novel_evl	wtc11_cdna_ont	human	TP+PTP	isoform_cov	14	0.932292285256796	0.249913898973213	0.999953570433652	0.864496956767684	1.00519599324613	0.140699036478443
stringtie_sq3	novel_evl	wtc11_cdna_pacbio	human	TP+PTP	isoform_cov	30	0.901567845812907	0.366180307347926	1	0.981758526854992	1.01830433225145	0.0365458053964547
stringtie_sq3	novel_evl	wtc11_drna_ont	human	TP+PTP	isoform_cov	13	1.0341595118505	0.263437547491552	1.00382815823054	1	1.07273768613975	0.072737686139748
stringtie_sq3	ref_evl	es_captrap_ont	mouse	TP+PTP	isoform_cov	24	0.882845723892883	0.249621694353597	1	0.906327426217938	1.00021638776688	0.0938889615489402
stringtie_sq3	ref_evl	es_captrap_pacbio	mouse	TP+PTP	isoform_cov	22	0.844784795650465	0.274155426003389	1	0.832040786501048	1.00071403097059	0.16867324446954
stringtie_sq3	ref_evl	es_cdna_ont	mouse	TP+PTP	isoform_cov	24	0.980191157267021	0.045596122639744	1	0.986425222503598	1.00165125281105	0.0152260303074516
stringtie_sq3	ref_evl	es_cdna_pacbio	mouse	TP+PTP	isoform_cov	76	0.838076505322179	0.392264279181328	0.975660621924068	0.551863285511729	1	0.448136714488271
stringtie_sq3	ref_evl	es_drna_ont	mouse	TP+PTP	isoform_cov	23	0.957248549146888	0.148888197081349	1	0.990603127589429	1.0006214251826	0.010018297593168
